All,Commercial Contracts,Corporate Tax,EU and Competition,Equity - Capital Markets,Financial Services (Regulatory),Financial Services (Contentious),Flotations: Small & Mid-Cap,Investment: Hedge Funds,Investment: Listed Funds,Investment: Private Funds,Investment: Real Estate Funds,Investment: Retail Funds,M&A £250m+,M&A £50 - £250m,M&A  up to £50m,Partnership,Private Equity: Large-Cap,Private Equity: Mid-Cap,VAT & Indirect Tax,Venture Capital
Addleshaw Goddard,*,,,,,,*,,,,,,,,,*,,*,,
Akin Gump Strauss Hauer & Feld,,,,,,*,,*,,,,,,,,,,,,
Allen & Overy,*,*,*,*,*,*,,,,,,,*,,,,,,,
Ashurst,,,*,*,*,*,*,,,*,*,,,,,,,*,*,
Baker & McKenzie,*,,,*,,,,,,,*,,,,,,,,*,
Bates Wells Braithwaite,,,,,,,,,,,,,,,*,,,,,
Berwin Leighton Paisner,*,,,,,*,*,,,,*,,,,,,,,*,
Bircham Dyson Bell,,,,,,,,,,,,,,,*,,,,,
Bird & Bird,*,,,,,,,,,,,,,*,,,,,,*
Blake Morgan,,,,,,,,,,,,,,,*,,,,,
Boodle Hatfield,,,,,,,,,,,,,,,*,,,,,
Bristows,,,,,,,,,,,,,,,*,,,,,
Brown Rudnick,,,,,,,,,,,,,,,*,,,,,*
Charles Russell Speechlys,,,,,,,*,,,,,,,,,,,,,
Cleary Gottlieb Steen & Hamilton,,,,*,,,,,,,,,,,,,,,,
Clifford Chance,,*,*,*,*,*,,,,*,*,,*,,,,*,,*,
CM Murray,,,,,,,,,,,,,,,,*,,,,
CMS,*,,,,,*,*,,,,,,,,,,,*,,
Collyer Bristow,,,,,,,,,,,,,,,,,,,,
Covington & Burling,,,,,,,,,,,,,,,,,,,,*
DAC Beachcroft,,,,,,,,,,,,,,,*,,,,,
Davis Polk,,,,*,,,,,,,,,,,,,,,,
Debevoise & Plimpton,,,,,,,,,,*,,,,,,,,,,
Dechert,,,,,,,,*,,*,,,,*,,,,*,,
Dentons,*,,,,,,,,,,,,,,,,,*,,
DLA Piper,*,,,,,,*,,,,,,,,,,,*,*,
Dorsey & Whitney,,,,,,,,,,,,,,,,,,,,
Druces,,,,,,,,,,,,,,,*,,,,,
Eversheds,,,,,,,*,,,,,*,,*,,,,*,*,
Faegre Baker Daniels,,,,,,,,,,,,,,,*,,,,,
Farrer & Co,,,,,,,,,,,,,,,*,,,,,
Fieldfisher,*,,,,,,*,,,,,*,,*,,,,,,
Fladgate,,,,,,,,,,,,,,,*,,,,,
Forsters,,,,,,,,,,,,,,,*,,,,,
Fox,,,,,,,,,,,,,,,,*,,,,
Fox Williams,,,,,,,,,,,,,,,*,*,,,,
Freshfields Bruckhaus Deringer,,*,*,*,*,*,,,*,,,,*,,,,*,,,
Fried Frank Harris Shriver & Jacobson,,,,,,,,,,,,,,,,,,*,,
Goodwin,,,,,,,,,,,*,,,,,,,*,,
Gowling WLG,*,,,,,,*,,*,,,,,*,,,,,,
Harbottle & Lewis,,,,,,,,,,,,,,,*,,,,,
Herbert Smith Freehills,,,*,*,,*,,,*,,*,,*,,,*,,,*,
Hogan Lovells,*,,*,,*,*,,,*,,*,,,,,,,*,*,
Howard Kennedy,,,,,,,,,,,,,,,*,,,,,
Ince & Co,,,,,,,,,,,,,,,*,,,,,
Irwin Mitchell,,,,,,,,,,,,,,,*,,,,,
Jones Day,,,,,,,,,,,*,,,,,,,*,,
Kemp Little,,,,,,,,,,,,,,,*,,,,,
King & Wood Mallesons,*,,,,,*,,,*,*,*,,,,,,,*,,*
Kirkland & Ellis,,,,,,,,,,*,,,,,,,*,,,
Latham & Watkins,,,,*,,,,,,*,,,,,,,*,,,
Lewis Silkin,,,,,,,,,,,,,,,,*,,,,
Linklaters,,*,*,*,*,*,,,*,*,*,,*,,,,,,,
Macfarlanes,,,,,,*,,,,*,*,*,,,,,,*,,
Maclay Murray & Spens,,,,,,,,,,,,,,,*,,,,,
Marriott Harrison,,,,,,,,,,,,,,,*,,,,,
Maurice Turnor Gardner,,,,,,,,,,,,,,,,*,,,,
McDermott Will & Emery,,,,,,,,,,,,,,*,,,,*,,
McGuireWoods,,,,,,,,,,,,,,,*,,,,,
Memery Crystal,,,,,,,,,,,,,,,*,,,,,
Milbank,*,,,,,,,,,,,,,,,,,,,
Mishcon de Reya,,,,,,,,,,,,,,*,,,,,,
Morgan Lewis,,,,,,,,,,,,,,*,,,,,,
Nabarro,,,,,,,*,,,,*,,,*,,,,,,
