All,Corporate Crime,Crime: General,Fraud: Civil,Fraud: White-collar Crime,Gaming & Betting,Licensing
Addleshaw Goddard,,,*,,,
Allen & Overy,*,,*,,,
Ashurst,*,,,,,
Baker & McKenzie,*,,*,,,
Bark&co,,,,*,,
BCL Burton Copeland,*,*,,*,,
Berwin Leighton Paisner,*,,*,,*,*
Bindmans,,*,,*,,
Bird & Bird,,,*,,,
Birds Solicitors,,*,,,,
Bivonas Law,,,,*,,
Blackfords,,*,,*,,
Blake Morgan,,,,,,*
Brown Rudnick,*,,,*,,
Byrne and Partners,,,*,*,,
Charles Russell Speechlys,,,*,,,
Clifford Chance,*,,*,,,
Clyde & Co,,,*,,,
Corker Binning,,*,,*,,
Covington & Burling,*,,,,,
Debevoise & Plimpton,*,,,,,
Dechert,*,,,*,,
DLA Piper,*,,*,,*,
Edward Fail Bradshaw & Waterson,,*,,,,
Enyo Law,,,*,,,
Eversheds,*,,,*,,
Fieldfisher,*,,*,,,
Fox Williams,,,,*,,
Freshfields Bruckhaus Deringer,*,,*,,,
Gordon Dadds,,,,,*,*
Gowling WLG,,,*,,,
Harris Hagan,,,,,*,
Herbert Smith Freehills,*,,*,,,
Hickman and Rose,,*,,*,,
Hodge Jones & Allen,,*,,,,
Hogan Lovells,*,,*,,,
IBB Solicitors,,*,,,,
Irwin Mitchell,,,,*,,
Janes Solicitors,,,,*,,
Joelson,,,,,*,*
Jones Day,,,*,,,
K&L Gates,*,,,,*,
King & Wood Mallesons,,,*,,,
Kingsley Napley,*,*,,*,,
Kirkland & Ellis,*,,,,,
Lewis Nedas,,*,,*,,
Linklaters,*,,*,,,
Lloyds PR Solicitors,,*,,*,,
Macfarlanes,,,*,,,
Mishcon de Reya,,,*,,*,
Norton Rose Fulbright,*,,,*,,
Olswang,,,,,*,
Osborne Clarke,,,*,,,
PCB Litigation,,,*,,,
Peter Wilson Legal,,,,,*,
Peters & Peters,*,,*,*,,
Pinsent Masons,*,,*,,*,
Poppleston Allen,,,,,,*
Reed Smith,*,,*,,,
RPC,*,,,,,
Russell-Cooke,,*,,*,,
Shaw Graham Kersh,,*,,,,
Shearman Bowen & Co,,*,,*,,
Simmons & Simmons,*,,*,,,
Simons Muirhead & Burton,,*,,,,
Skadden,*,,,,,
Slater + Gordon,,,,*,,
Slaughter and May,*,,,,,
Sonn Macmillan Walker,,*,,,,
Squire Patton Boggs,,,,,*,
Stephenson Harwood,*,,*,*,,
Stokoe Partnership,,*,,,,
Taylor Wessing,,,*,,,
Thomas & Thomas Partners,,,,,,*
TLT,,,,,,*
Tuckers Solicitors,,*,,*,,
TV Edwards,,*,,,,
Wiggin,,,,,*,
Willkie Farr & Gallagher,*,,,,,
WilmerHale,*,,,*,,
Winckworth Sherwood,,,,,,*
