All,Infrastructure (including PFI & PPP),Mining & Minerals,Oil & Gas,Power,Water
Addleshaw Goddard,*,,,,
Akin Gump Strauss Hauer & Feld,,,*,,
Allen & Overy,*,*,*,*,*
Ashurst,*,*,*,*,
Baker Botts,,,*,,
Berwin Leighton Paisner,*,,,,*
Bracewell,,,*,,
Chadbourne & Parke,,,,*,
Clifford Chance,*,*,*,*,
Clyde & Co,*,,*,,
CMS,*,,*,*,
Dentons,,,*,,
DLA Piper,,,,*,
Freshfields Bruckhaus Deringer,,,*,,
Greenberg Traurig Maher,,,,,*
Herbert Smith Freehills,*,,*,*,*
Hogan Lovells,*,,*,,
Linklaters,*,*,*,*,*
Mayer Brown,,*,,,
Milbank,,*,*,,
Norton Rose Fulbright,*,*,*,*,
Pinsent Masons,*,,*,,
Shearman & Sterling,,,*,*,
Simmons & Simmons,,,,*,
Slaughter and May,,,,*,
Sullivan & Cromwell,,*,,,
Vinson & Elkins,,,*,,
White & Case,*,*,*,*,
