All Law Firms,Magic Circle,Silver Circle,Top 50 UK Firms,Top 20 US Firms,Top 100 UK Firms,US Firms (All),30 Largest National Firms,Top 200 UK Firms,Recognised Leader in East Anglia,Recognised Leader in the East Midlands,Recognised Leader in the North,Recognised Leader in the North West,Recognised Leader in the South East,Recognised Leader in the South West,Recognised Leader in Wales,Recognised Leader in the West Midlands,Recognised Leader in Yorkshire & Humber
A&L Goodbody,,,,,,,,,,,,,,,,,
AA Thornton & Co,,,,,,,,,,,,,,,,,
Aaron & Partners,,,,,,,,*,,,,,,,*,,
Abel & Imray,,,,,,,,,,,,,,,,,
Aberdein Considine,,,,,,,,,,,,,,,,,
Ablett & Stebbing,,,,,,,,,,,,,,,,,
ABR Solicitors,,,,,,,,,,,,,,,,,
ACK Media Law,,,,,,,,,,,,,,,,,
Acuity Legal,,,,,,,,,,,,,,,*,,
Adams & Remers,,,,,,,,,,,,,,,,,
Adamson Jones IP,,,,,,,,,,,,,,,,,
Adcocks,,,,,,,,,,,,,,,,,
Addleshaw Goddard,,,*,,*,,*,*,,,,*,,,,,*
Akin Gump Strauss Hauer & Feld,,,,,,*,,,,,,,,,,,
Alan Edwards & Co,,,,,,,,,,,,,,,,,
Alexander JLO,,,,,,,,,,,,,,,,,
Alexiou Fisher Philipps,,,,,,,,,,,,,,,,,
Allen & Overy,*,,*,,*,,,*,,,,,,,,,
Alsters Kelley,,,,,,,,,,,,,,,,,
Anderson Strathern,,,,,*,,,*,,,,,,,,,
Andrews Kurth,,,,,,*,,,,,,,,,,,
Anthony Collins,,,,,,,,*,,,,,,,,,
Anthony Gold,,,,,,,,,,,,,,,,,
AO Hall,,,,,,,,,,,,,,,,,
Appleby,,,,,,,,,,,,,,,,,
Archers Law,,,,,,,,,,,*,,,,,,
Arendt & Medernach,,,,,,,,,,,,,,,,,
Armstrong Foulkes,,,,,,,,,,,,,,,,,
Arnold & Porter,,,,,,*,,,,,,,,,,,
Arthur Cox,,,,,,,,,,,,,,,,,
asb law,,,,,,,,*,,,,,*,,,,
Ashfords,,,,,*,,,*,,,,,,*,,,
Ashtons Legal,,,,,,,,*,*,,,,,,,,
Ashurst,,*,*,,*,,,*,,,,,,,,,
Aston Bond,,,,,,,,,,,,,,,,,
Atherton Godfrey,,,,,,,,,,,,,,,,,
Atkins Thomson,,,,,,,,,,,,,,,,,
Attwaters Jameson Hill,,,,,,,,,,,,,,,,,
Averta Employment Lawyers,,,,,,,,,,,,,,,,,
AVRillo Solicitors,,,,,,,,,,,,,,,,,
B C Toms & Co,,,,,,,,,,,,,,,,,
B P Collins,,,,,,,,*,,,,,*,,,,
Babbé,,,,,,,,,,,,,,,,,
Baines Wilson,,,,,,,,,,,*,,,,,,
Baker & McKenzie,,,,*,,*,,,,,,,,,,,
Baker & Partners,,,,,,,,,,,,,,,,,
Baker Botts,,,,,,*,,,,,,,,,,,
Baker Small Solicitors,,,,,,,,,,,,,,,,,
balfour+manson,,,,,,,,*,,,,,,,,,
Bark&co,,,,,,,,,,,,,,,,,
Barlow Robbins,,,,,,,,*,,,,,,,,,
Barratt Goff & Tomlinson,,,,,,,,,,,,,,,,,
Barrett & Thomson,,,,,,,,,,,,,,,,,
Bartlett & Son,,,,,,,,,,,,,,,,,
Bartletts Solicitors,,,,,,,,,,,,,,,,,
Batchelors,,,,,,,,,,,,,,,,,
Bates Wells Braithwaite,,,,,,,,*,,,,,,,,,
BC Legal,,,,,,,,,,,,,,,,,
BCL Burton Copeland,,,,,,,,,,,,,,,,,
Beale & Company Solicitors,,,,,,,,,,,,,,,,,
Beck Greener,,,,,,,,,,,,,,,,,
Bedell Cristin,,,,,,,,,,,,,,,,,
Beecham Peacock,,,,,,,,,,,,,,,,,
Bellwether Green,,,,,,,,,,,,,,,,,
Beltrami & Co,,,,,,,,,,,,,,,,,
Benest Corbett Renouf,,,,,,,,,,,,,,,,,
Bentleys Stokes and Lowless,,,,,,,,,,,,,,,,,
Benussi & Co,,,,,,,,,,,,,,,,,
Berkeley Law,,,,,,,,,,,,,,,,,
Bernard Chill & Axtell,,,,,,,,,,,,,,,,,
Berwin Leighton Paisner,,*,*,,*,,,*,,,,*,,,,,
Berwins,,,,,,,,,,,,,,,,,
Beswicks Legal,,,,,,,,,,,,,,,,,
Bevan Brittan,,,,,*,,,*,,,,,,*,,,
Bhatt Murphy,,,,,,,,,,,,,,,,,
BHW Solicitors,,,,,,,,,,,,,,,,,
Bindmans,,,,,,,,*,,,,,,,,,
Bircham Dyson Bell,,,,,*,,,*,,,,,,,,,
Bird & Bird,,,*,,*,,,*,,,,,,,,,
Birds Solicitors,,,,,,,,,,,,,,,,,
Birkett Long,,,,,,,,,,,,,*,,,,
Birketts,,,,,*,,,*,*,,,,*,,,,
Bishop & Sewell,,,,,,,,,,,,,,,,,
Bivonas Law,,,,,,,,,,,,,,,,,
BL Claims Solicitors,,,,,,,,,,,,,,,,,
Blackadders,,,,,,,,,,,,,,,,,
Blackfords,,,,,,,,,,,,,,,,,
Blacks Solicitors,,,,,,,,,,,,,,,,,
Blackwood Partners,,,,,,,,,,,,,,,,,
Blair Allison,,,,,,,,,,,,,,,,,
Blake Cassels & Graydon,,,,,,,,,,,,,,,,,
Blake Morgan,,,,,*,,*,*,,,,,*,,*,,
Blandy & Blandy,,,,,,,,,,,,,*,,,,
